SETOR,LOCALIZAÇÃO,CODIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
ARONILDO - PLAT/CAÇ/TANQ - ESP,C,032816,FECHAMENTO LATERAL TRASEIRO SUPERIOR [CAÇAMBA - CBH9 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,C,033189,FUEIRAO CENTRAL [CAÇAMBA SIMPLES - CBH12 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,C,032832,SUPORTE TRASEIRO [CHASSI CBH9],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025424,MANCAL ARTICULAÇÃO - CHASSI/5 RODA        CBH-8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025434,BUCHA INF SUP EIXO CBH-8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025446,BUCHA DA ARTICULAÇÃO - CHASSI DA CAÇAMBA CBH (M13) 8T,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025454,TUBO PLACA - CHASSI        CBH-8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025457,PINO DE ARTICULAÇÃO DA CAÇAMBA CBH8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025465,BUCHA DO MANCAL DO CILINDRO CBH8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025472,PINO DO CILINDRO CBH8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025473,BUCHA SUPERIOR - CHASSI DA CAÇAMBA - CBH 8T (M13),0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025543,BUCHA DE DESGASTE - CBH 8T,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,025866,PROTEÇÃO DO PITO - RODA CBH 8T,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,026019,TENSOR DA CORRENTE - CAÇAMBA - CBH8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,026393,ELO DA AMARRA DA CORRENTE - CAÇAMBA - CBH8,0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,026626,CORRENTE DO ENGATE [ROBUSTA 12T],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032074,CALOTA [TAMPA SUPERIOR - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032075,ANEL EXTERNO [TAMPA SUPERIOR - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032076,ANEL INTERNO [TAMPA SUPERIOR - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032091,CALOTA [TAMPA TRASEIRA - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032092,ANEL INTERNO [TAMPA TRASEIRA - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032093,ANEL EXTERNO [TAMPA TRASEIRA - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032098,COLARINHO SUPERIOR [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032100,SUPORTE DA SAPATA [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032103,FECHAMENTO TRASEIRO [CORPO DO TANQUE - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032104,PLACA DE REFORÇO INTERNO [CORPO DO TANQUE - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032105,REFORÇO DIAGONAL INTERNO [CORPO DO TANQUE - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032107,TUBO VERTICAL [TUBULAÇAO DE RETORNO - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032108,TUBO INFERIOR [TUBULAÇAO DE RETORNO - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032113,ORELHA RETANGULAR [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032115,ORELHA DO COLARINHO [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032127,BUCHA [TUBULAÇAO DE DISPERSAO - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032136,TUBO AUXILIAR MENOR [TUBULAÇAO DE RETORNO - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032606,DEGRAU [ESCADA - FTC M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032706,SUPORTE FRONTAL [CHASSI - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032707,FECHAMENTO DIANTEIRO [CHASSI - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032709,FECHAMENTO DO SUPORTE FRONTAL [CHASSI - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032710,REFORÇO SUPORTE FRONTAL [CHASSI - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032714,SUPORTE DO ENGATE [CHASSI - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032718,ORELHA DE FIXAÇÃO [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032719,REFORÇO DA ORELHA [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032745,ALÇA - [TRAVA DE BASCULAMENTO FA4FB],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032933,REFORÇO EIXO BALANCIN [EIXO BALANCIM - CBH 9],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032949,CORPO DO ESPAÇADOR [CBH9 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032988,CORRIMAO MAIOR [GRADIL-TDV5000 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032989,COLUNA LATERAL [GRADIL - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032990,COLUNA CENTRAL [GRADIL - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,032991,CORRIMAO MENOR  [GRADIL - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033103,ALÇA PARA MANGUEIRA DE SUSPIRO [TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033106,PINO DA ORELHA DO COLARINHO [TANQUE SIMPLES - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033109,BUCHA DA MANIVELA [TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033110,PINO DA MANIVELA [TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033122,CORRIMAO [ESCADA - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033128,CORPO DO ESGUICHO [ESGUICHO - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033136,ORELHA [ESGUICHO - TDV 5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033228,TUBO AUXILIAR [TUBULAÇAO DA BOMBA - TDV5000],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033264,CORPO TRAVA DA TAMPA TRASEIRA [CBH12 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033265,REFORÇO TRAVA DA TAMPA TRASEIRA [CBH12 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033266,BUCHA TRAVA DA TAMPA TRASEIRA [CBH12 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033433,PINO DO IÇAMENTO [CBH12 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033532,MANGUEIRA DE SAÍDA 2m [FT10500/12500],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033551,ORELHA DO SINALIZADOR [FT10500 M22],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033897,CORPO DA SOBRETAMPA LATERAL [CBH12],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,033927,APOIO DE MANGUEIRA (CHAPA) [FT10500],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,034008,CORPO DO TUBO HIDRÁULICO [CBH12],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,034011,CORPO DO TUBO HIDRÁULICO [CBH9-2E],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,034464,"MANGUEIRA DO CANHÃO 3"" 1,3m [FT10500/12500]",0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,034889,"MANGUEIRA DE PRESSÃO 0,60m [FTD5000]",0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,035438,BORRACHA DE VEDAÇÃO DO CANHÃO [FT10500-2E],0,Almox Mont Carretas
ARONILDO - PLAT/CAÇ/TANQ - ESP,SETOR,035439,BORRACHA DE VEDAÇÃO DA BOMBA [FT10500-2E],0,Almox Mont Carretas
