SETOR,LOCALIZACAO,CODIGO,QTD,ALMOXARIFADO
PERFIL,,110670,"0,83",Almox Central
PERFIL,,110735,"1248,725",Almox Central
PERFIL,,110747,"340,2999",Almox Central
PERFIL,,110784,"781,296",Almox Central
PERFIL,,110838,"0,0005",Almox Central
PERFIL,,110929,"424,495",Almox Central
PERFIL,,110012,"8277,437",Almox Central
PERFIL,,110048,"99,443",Almox Central
PERFIL,,110103,"1,9",Almox Central
PERFIL,,110164,"126,6",Almox Central
PERFIL,,110220,"0,003",Almox Central
PERFIL,,110309,"33,44",Almox Central
PERFIL,,110322,"297,038",Almox Central
PERFIL,,110346,"1335,598",Almox Central
PERFIL,,110358,"1240,202",Almox Central
PERFIL,,110528,88,Almox Central
PERFIL,,110553,"0,001",Almox Central
PERFIL,,110607,19,Almox Central
PERFIL,,110700,"0,009",Almox Central
PERFIL,,110980,"2226,288",Almox Central
PERFIL,,112802,56,Almox Central
PERFIL,,199839,5,Almox Central
PERFIL,,112150,"166,74",Almox Central
PERFIL,,112203,630,Almox Central
PERFIL,,112215,"122,391",Almox Central
PERFIL,,112306,"672,842",Almox Central
PERFIL,,112410,"223,492",Almox Central
PERFIL,,112434,"480,8",Almox Central
PERFIL,,112458,102,Almox Central
PERFIL,,112460,37,Almox Central
PERFIL,,112501,"81,041",Almox Central
PERFIL,,112502,"1335,596",Almox Central
PERFIL,,112525,"215,605",Almox Central
PERFIL,,112801,"0,8",Almox Central
PERFIL,,112914,"0,3",Almox Central
PERFIL,,113049,220,Almox Central
PERFIL,,113050,221,Almox Central
PERFIL,,554692,"18,722",Almox Central
PERFIL,,126008,27,Almox Central
PERFIL,,126010,24,Almox Central
PERFIL,,126011,12,Almox Central
PERFIL,,110437,180,Almox Central
PERFIL,,117006,8,Almox Central
PERFIL,,117008,"9,5564",Almox Central
PERFIL,,117009,65,Almox Central
PERFIL,,117112,"5,982",Almox Central
PERFIL,,117113,"28,2",Almox Central
PERFIL,,136815,10,Almox Central
